"pregion","dollar_per_kw","geo_rsc_mw"
"p1",17756.3237655923,3915.20492827742
"p1",20731.4618909943,990.705215596958
"p1",21650.633456713,3874.35585479308
"p1",22188.7328871935,819.472215370323
"p1",22960.798785932,2456.37738429947
"p1",25062.6163102187,2031.81833022302
"p1",25597.4133773693,3191.74314805225
"p1",25774.6747488849,1789.21315646505
"p1",26462.5645115026,2041.09480766005
"p1",29792.1660866185,1797.58008903003
"p1",29974.7086594416,1342.70716294145
"p1",30676.7487938659,721.624786669389
"p1",31397.4856276848,506.646687767887
"p1",31634.8305508242,4745.29375332062
"p1",33602.7411826441,5434.1445729041
"p1",35311.5605888182,1341.12312967337
"p1",36276.096267792,2012.21651757093
"p1",41264.1789728678,3058.54805986993
"p1",43575.2775875602,3710.24683107545
"p1",52804.3988744404,1605.66124869257
"p1",59579.1238157546,1043.26380459153
"p1",70988.6211709944,271.999503792614
"p10",14100.6878591239,5750.82980728697
"p10",14922.0389200649,6105.81930156394
"p10",15135.6621050405,6531.80669469631
"p10",15841.5176804637,6886.79618897328
"p10",17242.5907850676,5324.8424141546
"p10",17756.3237655923,12211.1071140824
"p10",18872.8887883071,17527.2222452785
"p10",18945.9029233104,29241.5638553577
"p10",19453.8855852265,25501.3638273468
"p10",20176.3926602811,2936.96549964749
"p10",20731.4618909943,5844.92224737416
"p10",21650.633456713,10715.0341874779
"p10",22188.7328871935,3662.5569865174
"p10",22238.2499344693,33298.3590406409
"p10",22501.9342837872,7175.627406568
"p10",22960.798785932,5654.54313882912
"p10",25062.6163102187,5849.34648108284
"p10",25597.4133773693,2850.65792207936
"p10",25774.6747488849,13742.2368030724
"p10",25826.8762096713,4726.56022671839
"p10",26539.3623593754,10103.2866325877
"p10",28200.4061465827,12214.4211528299
"p10",29687.404805842,11309.6492155833
"p10",29974.7086594416,4222.39380253509
"p10",30676.7487938659,7343.97804797461
"p10",31634.8305508242,4726.56022671839
"p10",34220.8807598846,8896.92404959218
"p10",35311.5605888182,21015.4242138175
"p10",39003.902179088,1032.17575185247
"p10",43575.2775875602,3718.2273783518
"p100",39570.6354559266,15.4311729374599
"p100",45635.8770932137,635.448148604946
"p100",46402.1530989227,635.448148604946
"p100",54940.7896622694,271.662105383937
"p100",59579.1238157546,13.5886448255244
"p100",70988.6211709944,1525.68124207245
"p101",28200.4061465827,1161.0610725175
"p101",29792.1660866185,960.383850107072
"p101",29974.7086594416,960.383850107072
"p101",33602.7411826441,2627.24816942463
"p101",34220.8807598846,845.711151586824
"p101",35124.9031535329,4241.43485548306
"p101",39570.6354559266,4898.32312938907
"p101",41264.1789728678,334.128685412578
"p101",45635.8770932137,2302.68549431544
"p101",46402.1530989227,1626.42380132776
"p101",52804.3988744404,3400.86618732624
"p101",54940.7896622694,25476.5296639547
"p101",59579.1238157546,10101.1243950877
"p101",70988.6211709944,15601.7799246857
"p102",54940.7896622694,5726.88781981239
"p102",70988.6211709944,5389.18692506618
"p103",29792.1660866185,473.482361296311
"p103",35124.9031535329,3094.71942378249
"p103",38682.6087325057,2805.86416420466
"p103",39570.6354559266,25168.9984579536
"p103",45635.8770932137,1330.70259084744
"p103",46402.1530989227,4406.24116238796
"p103",52804.3988744404,912.954509561555
"p103",54940.7896622694,25205.9290319114
"p103",59579.1238157546,21117.6905917852
"p103",70988.6211709944,6845.56028579224
"p104",45635.8770932137,794.904507374686
"p104",54940.7896622694,2599.58032587127
"p104",70988.6211709944,885.30774125772
"p105",35124.9031535329,2319.38956072224
"p105",39570.6354559266,23183.2262345275
"p105",46402.1530989227,4467.85631523764
"p105",52804.3988744404,6966.14069233684
"p105",54940.7896622694,7029.38405495774
"p105",59579.1238157546,20322.3526258888
"p106",39570.6354559266,1389.36976995874
"p106",52804.3988744404,1223.47487205322
"p106",59579.1238157546,1223.47487205322
"p107",29792.1660866185,1037.88049065663
"p107",31397.4856276848,1917.53120548518
"p107",33602.7411826441,3224.00173916044
"p107",35124.9031535329,3565.94059291443
"p107",39570.6354559266,10738.0698870597
"p107",41264.1789728678,1823.78298593306
"p107",45635.8770932137,760.848137052725
"p107",46402.1530989227,2410.02324308249
"p107",52804.3988744404,3450.38172632376
"p107",54940.7896622694,6009.09430034813
"p107",59579.1238157546,9047.56817439845
"p107",70988.6211709944,1521.93491939023
"p108",54940.7896622694,550.864452771974
"p108",70988.6211709944,3386.3297437394
"p109",31397.4856276848,311.737543286468
"p109",33602.7411826441,967.658706252058
"p109",35124.9031535329,7375.89315536281
"p109",39570.6354559266,14211.126990706
"p109",45635.8770932137,1931.97283000912
"p109",46402.1530989227,8052.0946336717
"p109",52804.3988744404,8968.22604053354
"p109",54940.7896622694,5264.23850323005
"p109",59579.1238157546,12186.6613796475
"p109",70988.6211709944,1404.02614178881
"p11",22188.7328871935,5258.31107591748
"p11",23410.6607766783,6749.47391834184
"p11",23438.8061887125,5886.169114833
"p11",25826.8762096713,5886.169114833
"p11",30676.7487938659,4630.45303700196
"p110",35124.9031535329,1361.88353247024
"p110",39570.6354559266,2024.46511456943
"p110",41264.1789728678,1714.81222656765
"p110",46402.1530989227,2174.7883384928
"p110",52804.3988744404,350.912062159438
"p110",54940.7896622694,1740.47736446614
"p110",59579.1238157546,2296.54755934007
"p110",70988.6211709944,1209.77534197103
"p111",39570.6354559266,6627.13103803716
"p111",46402.1530989227,2418.87676286723
"p111",54940.7896622694,6068.22921939596
"p111",59579.1238157546,6054.31317150393
"p111",70988.6211709944,434.322868244298
"p112",35124.9031535329,1645.62001022851
"p112",39570.6354559266,4145.51019722615
"p112",45635.8770932137,890.094009617322
"p112",46402.1530989227,2063.68048894632
"p112",52804.3988744404,1449.12806870868
"p112",54940.7896622694,11088.812664365
"p112",59579.1238157546,4869.74839950877
"p112",70988.6211709944,17207.4850699025
"p113",70988.6211709944,5173.37275668397
"p114",39570.6354559266,775.135942299335
"p114",45635.8770932137,1384.88195904014
"p114",54940.7896622694,718.658459202725
"p114",59579.1238157546,1312.72516569067
"p114",70988.6211709944,614.483853638172
"p115",26462.5645115026,2665.45687564091
"p115",28200.4061465827,1668.85193682605
"p115",29792.1660866185,5711.58271115684
"p115",29974.7086594416,4164.66907835548
"p115",31397.4856276848,861.74365085092
"p115",31634.8305508242,3116.70972332019
"p115",33602.7411826441,2146.32304601036
"p115",34220.8807598846,1215.58350953996
"p115",35124.9031535329,1376.49871791687
"p115",36276.096267792,4397.07661385139
"p115",41264.1789728678,3356.566145094
"p115",43575.2775875602,5910.8452519083
"p116",20731.4618909943,1070.69053091834
"p116",21650.633456713,757.106320473058
"p116",22188.7328871935,4127.7541340431
"p116",22501.9342837872,589.838645019708
"p116",23410.6607766783,2163.17395477789
"p116",23438.8061887125,2388.48223487523
"p116",25062.6163102187,5208.72212908697
"p116",25538.4845745045,4730.48840757482
"p116",25597.4133773693,991.380121220685
"p116",25774.6747488849,1370.96432770424
"p116",25826.8762096713,3450.04813541267
"p116",26462.5645115026,2460.58518731028
"p116",26539.3623593754,7751.86486823237
"p116",28200.4061465827,1056.49745324575
"p116",29687.404805842,7387.61098565394
"p116",29792.1660866185,2644.6817291174
"p116",29974.7086594416,2883.75290508264
"p116",30676.7487938659,5109.97012322715
"p116",31397.4856276848,2110.04494790263
"p116",31634.8305508242,6266.64488459523
"p116",33602.7411826441,1900.87760362552
"p116",34220.8807598846,2926.74753443975
"p116",34466.1434073301,1410.92098742966
"p116",35124.9031535329,2622.87228660521
"p116",35311.5605888182,1038.82030018396
"p116",36276.096267792,1593.51223198954
"p116",38682.6087325057,1048.02988008103
"p116",39003.902179088,1746.06788613167
"p116",39570.6354559266,4931.74102335789
"p116",41264.1789728678,1895.84504587473
"p116",43575.2775875602,2243.06172213542
"p116",45635.8770932137,1294.67136452417
"p116",46402.1530989227,3070.1709638177
"p116",52804.3988744404,1564.87892251841
"p116",59579.1238157546,2646.94889595362
"p117",26462.5645115026,1157.47240601515
"p117",26539.3623593754,1034.00868270686
"p117",29792.1660866185,3463.16433048835
"p117",29974.7086594416,2796.00721516215
"p117",31397.4856276848,2618.94945207383
"p117",31634.8305508242,2195.78512497632
"p117",33602.7411826441,4794.58149108577
"p117",34220.8807598846,910.544959398581
"p117",34466.1434073301,1391.92738352191
"p117",35124.9031535329,731.085671406798
"p117",36276.096267792,4768.10366870453
"p117",39570.6354559266,1987.88329737611
"p117",41264.1789728678,1407.84261275189
"p117",43575.2775875602,5319.68725502431
"p117",46402.1530989227,438.916365591296
"p117",52804.3988744404,1444.77497254332
"p117",54940.7896622694,678.596152487131
"p117",59579.1238157546,1311.60773209811
"p118",23438.8061887125,14.8897113538328
"p118",25062.6163102187,13.3014754760906
"p118",26462.5645115026,14.8897113538328
"p118",26539.3623593754,701.276310401459
"p118",29792.1660866185,2958.77084679638
"p118",29974.7086594416,1443.80010189969
"p118",31397.4856276848,1686.81329922958
"p118",31634.8305508242,808.949981487855
"p118",33602.7411826441,1634.03594372873
"p118",34220.8807598846,1271.40605988181
"p118",34466.1434073301,624.660745838764
"p118",35124.9031535329,2449.59618358258
"p118",36276.096267792,2660.32806182123
"p118",38682.6087325057,477.349891353866
"p118",39003.902179088,11.7132395983484
"p118",39570.6354559266,2787.86723330936
"p118",41264.1789728678,1596.59078556958
"p118",43575.2775875602,1951.6205412327
"p118",46402.1530989227,2336.76677652838
"p118",52804.3988744404,2111.52226845955
"p118",54940.7896622694,4554.39532812963
"p118",59579.1238157546,2474.77962445353
"p118",70988.6211709944,2412.26432158689
"p119",35124.9031535329,4489.08870697748
"p119",39570.6354559266,2592.37806617704
"p119",41264.1789728678,1522.20708775101
"p119",46402.1530989227,6235.91850173308
"p119",52804.3988744404,1650.29665486069
"p12",6961.99433464749,10962.457219928
"p12",8769.95197808546,9067.09353308512
"p12",11564.3849607725,16769.89826967
"p12",12619.3324643201,36976.2962099751
"p12",13058.8283635122,8099.93688955604
"p12",13437.3083327597,57033.9761740619
"p12",14100.6878591239,9792.46101573193
"p12",14200.1065063495,28254.6071369887
"p12",14719.8054421238,5112.1428088537
"p12",14922.0389200649,45871.8544832453
"p12",14996.144345048,40175.535012731
"p12",15135.6621050405,111734.1785031
"p12",15385.3536006787,16162.4294834368
"p12",15627.2091989684,49552.2900403684
"p12",15841.5176804637,32907.686269608
"p12",16183.5907020363,29710.978893048
"p12",16216.6565071475,64026.2766698935
"p12",16226.7837256534,45009.3612036046
"p12",16750.1328152943,18496.5439285631
"p12",17221.8214234768,25214.8828052004
"p12",17242.5907850676,12210.5495888906
"p12",17412.080541241,41185.9875244439
"p12",17465.0594027004,16468.3612270353
"p12",17581.9726739368,24788.7358608102
"p12",17756.3237655923,2003.63601590307
"p12",17781.0168917904,54206.5263226271
"p12",18872.8887883071,17617.3166614797
"p12",19453.8855852265,40055.0501064749
"p12",19855.4437353446,17743.4693936684
"p12",20201.2858900121,26239.991986263
"p12",20731.4618909943,1437.13784278211
"p12",21100.7252319733,8302.60698621684
