"geoid","name","st_abbr","depth","temp","potential_mw","capex_kw","fom_kw"
"01001","Autauga","AL",7500,120,529.025003236224,856789.882603232,19224.13693
"01001","Autauga","AL",8500,150,918.013976204035,59579.1238157546,1316.32917
"01001","Autauga","AL",10000,160,918.013976204035,54940.7896622694,1235.779325
"01003","Baldwin","AL",5500,120,1463.67827647621,421707.508301757,9615.791529
"01003","Baldwin","AL",6500,160,2539.91230329696,34220.8807598846,776.6921459
"01003","Baldwin","AL",7500,160,2539.91230329696,41264.1789728678,883.4923126
"01003","Baldwin","AL",8500,190,2884.30719187959,29792.1660866185,620.5273678
"01003","Baldwin","AL",10000,230,3486.99824689921,28200.4061465827,737.7646004
"01005","Barbour","AL",6500,120,785.838457802801,551944.093051158,12992.56868
"01005","Barbour","AL",7500,120,785.838457802801,856789.882603232,19224.13693
"01005","Barbour","AL",8500,150,1363.66085324604,59579.1238157546,1316.32917
"01005","Barbour","AL",10000,180,1548.56401978787,39570.6354559266,855.1223163
"01007","Bibb","AL",6500,140,536.176576688563,62099.0952289965,1439.144864
"01007","Bibb","AL",7500,140,536.176576688563,75806.287081218,1663.906739
"01007","Bibb","AL",8500,160,702.987067213894,46402.1530989227,1008.857068
"01007","Bibb","AL",10000,190,798.307347514082,35124.9031535329,745.0386627
"01009","Blount","AL",6500,140,759.16127269008,62099.0952289965,1439.144864
"01009","Blount","AL",7500,150,995.344779749215,52804.3988744404,1144.325137
"01009","Blount","AL",8500,160,995.344779749215,46402.1530989227,1008.857068
"01009","Blount","AL",10000,190,1130.30678378301,35124.9031535329,745.0386627
"01011","Bullock","AL",6500,120,550.429631894999,551944.093051158,12992.56868
"01011","Bullock","AL",7500,140,728.509806919852,75806.287081218,1663.906739
"01011","Bullock","AL",8500,150,955.157302406028,59579.1238157546,1316.32917
"01011","Bullock","AL",10000,180,1084.67015696956,39570.6354559266,855.1223163
"01013","Butler","AL",7500,120,685.658582901794,856789.882603232,19224.13693
"01013","Butler","AL",8500,140,907.489300899433,86147.4173929676,1935.408743
"01013","Butler","AL",10000,160,1189.8193056237,54940.7896622694,1235.779325
"01015","Calhoun","AL",6500,120,399.782112153951,551944.093051158,12992.56868
"01015","Calhoun","AL",7500,120,399.782112153951,856789.882603232,19224.13693
"01015","Calhoun","AL",8500,150,693.739547561269,59579.1238157546,1316.32917
"01015","Calhoun","AL",10000,180,787.80592689161,39570.6354559266,855.1223163
"01017","Chambers","AL",6500,120,531.867023827275,551944.093051158,12992.56868
"01017","Chambers","AL",7500,130,703.941649183158,139413.011490509,3099.021123
"01017","Chambers","AL",8500,120,531.867023827275,1471567.53859392,34024.28003
"01017","Chambers","AL",10000,180,1048.09089989492,39570.6354559266,855.1223163
"01019","Cherokee","AL",6500,120,521.218229321268,551944.093051158,12992.56868
"01019","Cherokee","AL",7500,120,521.218229321268,856789.882603232,19224.13693
"01019","Cherokee","AL",8500,150,904.466927351613,59579.1238157546,1316.32917
"01019","Cherokee","AL",10000,180,1027.10651072132,39570.6354559266,855.1223163
"01021","Chilton","AL",6500,120,562.763637609251,551944.093051158,12992.56868
"01021","Chilton","AL",7500,140,744.834226247538,75806.287081218,1663.906739
"01021","Chilton","AL",8500,150,976.560429968995,59579.1238157546,1316.32917
"01021","Chilton","AL",10000,180,1108.97540352411,39570.6354559266,855.1223163
"01023","Choctaw","AL",5500,120,806.128319389103,421707.508301757,9615.791529
"01023","Choctaw","AL",6500,130,1066.93454036793,112023.55207132,2621.501251
"01023","Choctaw","AL",7500,150,1398.86973070462,52804.3988744404,1144.325137
"01023","Choctaw","AL",8500,180,1588.54698232559,33602.7411826441,709.6734064
"01023","Choctaw","AL",10000,180,1588.54698232559,39570.6354559266,855.1223163
"01025","Clarke","AL",5500,120,1102.84733341416,421707.508301757,9615.791529
"01025","Clarke","AL",6500,140,1459.65088245991,62099.0952289965,1439.144864
"01025","Clarke","AL",7500,160,1913.76449033633,41264.1789728678,883.4923126
"01025","Clarke","AL",8500,160,1913.76449033633,46402.1530989227,1008.857068
"01025","Clarke","AL",10000,190,2173.25798055143,35124.9031535329,745.0386627
"01027","Clay","AL",7500,120,340.746103774334,856789.882603232,19224.13693
"01027","Clay","AL",8500,150,591.294709490756,59579.1238157546,1316.32917
"01027","Clay","AL",10000,160,591.294709490756,54940.7896622694,1235.779325
"01029","Cleburne","AL",6500,120,320.237110487413,551944.093051158,12992.56868
"01029","Cleburne","AL",7500,120,320.237110487413,856789.882603232,19224.13693
"01029","Cleburne","AL",8500,120,320.237110487413,1471567.53859392,34024.28003
"01029","Cleburne","AL",10000,180,631.055482431078,39570.6354559266,855.1223163
"01031","Coffee","AL",7500,130,764.099858090249,139413.011490509,3099.021123
"01031","Coffee","AL",8500,140,764.099858090249,86147.4173929676,1935.408743
"01031","Coffee","AL",10000,160,1001.81981394055,54940.7896622694,1235.779325
"01033","Colbert","AL",6500,120,539.938656608261,551944.093051158,12992.56868
"01033","Colbert","AL",7500,150,936.952374702571,52804.3988744404,1144.325137
"01033","Colbert","AL",8500,140,714.624692569758,86147.4173929676,1935.408743
"01033","Colbert","AL",10000,190,1063.99676449275,35124.9031535329,745.0386627
"01035","Conecuh","AL",6500,140,992.604028291476,62099.0952289965,1439.144864
"01035","Conecuh","AL",7500,150,1301.4141704266,52804.3988744404,1144.325137
"01035","Conecuh","AL",8500,160,1301.4141704266,46402.1530989227,1008.857068
"01035","Conecuh","AL",10000,190,1477.87710878953,35124.9031535329,745.0386627
"01037","Coosa","AL",7500,120,586.87511164904,856789.882603232,19224.13693
"01037","Coosa","AL",8500,150,1018.40092903804,59579.1238157546,1316.32917
"01037","Coosa","AL",10000,180,1156.48919060252,39570.6354559266,855.1223163
"01039","Covington","AL",7500,140,1009.97225592712,75806.287081218,1663.906739
"01039","Covington","AL",8500,160,1324.18584666001,46402.1530989227,1008.857068
"01039","Covington","AL",10000,160,1324.18584666001,54940.7896622694,1235.779325
"01041","Crenshaw","AL",7500,120,538.63377987878,856789.882603232,19224.13693
"01041","Crenshaw","AL",8500,140,712.897649839562,86147.4173929676,1935.408743
"01041","Crenshaw","AL",10000,150,934.688029789648,70988.6211709944,1631.997462
"01043","Cullman","AL",5500,120,665.394768523073,421707.508301757,9615.791529
"01043","Cullman","AL",6500,140,880.669546574655,62099.0952289965,1439.144864
"01043","Cullman","AL",7500,150,1154.65562773121,52804.3988744404,1144.325137
"01043","Cullman","AL",8500,180,1311.21910267782,33602.7411826441,709.6734064
"01043","Cullman","AL",10000,200,1467.78257762443,31397.4856276848,653.3218402
"01045","Dale","AL",6500,120,430.63858240151,551944.093051158,12992.56868
"01045","Dale","AL",7500,140,569.962829649058,75806.287081218,1663.906739
"01045","Dale","AL",8500,150,747.284598873209,59579.1238157546,1316.32917
"01045","Dale","AL",10000,180,848.611324144153,39570.6354559266,855.1223163
"01047","Dallas","AL",7500,120,852.791949584161,856789.882603232,19224.13693
"01047","Dallas","AL",8500,140,1128.6952273908,86147.4173929676,1935.408743
"01047","Dallas","AL",10000,160,1479.84485369016,54940.7896622694,1235.779325
"01049","DeKalb","AL",6500,120,674.597824188865,551944.093051158,12992.56868
"01049","DeKalb","AL",7500,130,892.850061426439,139413.011490509,3099.021123
"01049","DeKalb","AL",8500,150,1170.62563609244,59579.1238157546,1316.32917
"01049","DeKalb","AL",10000,180,1329.35453590159,39570.6354559266,855.1223163
"01051","Elmore","AL",6500,120,578.653297965924,551944.093051158,12992.56868
"01051","Elmore","AL",7500,140,765.864659072546,75806.287081218,1663.906739
"01051","Elmore","AL",8500,150,1004.13366411734,59579.1238157546,1316.32917
"01051","Elmore","AL",10000,180,1140.28738128579,39570.6354559266,855.1223163
"01053","Escambia","AL",5500,120,759.904344048758,421707.508301757,9615.791529
"01053","Escambia","AL",6500,140,1005.7557494763,62099.0952289965,1439.144864
"01053","Escambia","AL",7500,160,1318.65753820226,41264.1789728678,883.4923126
"01053","Escambia","AL",8500,180,1497.45856033138,33602.7411826441,709.6734064
"01053","Escambia","AL",10000,190,1497.45856033138,35124.9031535329,745.0386627
"01055","Etowah","AL",6500,120,484.066011765934,551944.093051158,12992.56868
"01055","Etowah","AL",7500,140,640.675603807853,75806.287081218,1663.906739
"01055","Etowah","AL",8500,150,839.996902770297,59579.1238157546,1316.32917
"01055","Etowah","AL",10000,180,953.894787891693,39570.6354559266,855.1223163
"01057","Fayette","AL",5500,120,554.520806199722,421707.508301757,9615.791529
"01057","Fayette","AL",6500,150,962.256693111282,43575.2775875602,999.2800224
"01057","Fayette","AL",7500,160,962.256693111282,41264.1789728678,883.4923126
"01057","Fayette","AL",8500,180,1092.73217692298,33602.7411826441,709.6734064
"01057","Fayette","AL",10000,200,1223.20766073468,31397.4856276848,653.3218402
"01059","Franklin","AL",5500,120,550.249319040574,421707.508301757,9615.791529
"01059","Franklin","AL",6500,120,550.249319040574,551944.093051158,12992.56868
"01059","Franklin","AL",7500,150,954.844406570407,52804.3988744404,1144.325137
"01059","Franklin","AL",8500,180,1084.31483457995,33602.7411826441,709.6734064
"01059","Franklin","AL",10000,180,1084.31483457995,39570.6354559266,855.1223163
"01061","Geneva","AL",7500,140,673.711719008052,75806.287081218,1663.906739
"01061","Geneva","AL",8500,120,509.026632139417,1471567.53859392,34024.28003
"01061","Geneva","AL",10000,160,883.310920477224,54940.7896622694,1235.779325
"01063","Greene","AL",6500,140,772.16196982379,62099.0952289965,1439.144864
"01063","Greene","AL",7500,150,1012.39013821341,52804.3988744404,1144.325137
"01063","Greene","AL",8500,160,1012.39013821341,46402.1530989227,1008.857068
"01063","Greene","AL",10000,190,1149.6633772932,35124.9031535329,745.0386627
"01065","Hale","AL",6500,120,521.729391159519,551944.093051158,12992.56868
"01065","Hale","AL",7500,140,690.524194181717,75806.287081218,1663.906739
"01065","Hale","AL",8500,160,905.353943482695,46402.1530989227,1008.857068
"01065","Hale","AL",10000,180,1028.11380022611,39570.6354559266,855.1223163
"01067","Henry","AL",6500,120,500.881188072764,551944.093051158,12992.56868
"01067","Henry","AL",7500,120,500.881188072764,856789.882603232,19224.13693
"01067","Henry","AL",8500,150,869.176179302738,59579.1238157546,1316.32917
"01067","Henry","AL",10000,180,987.03057649633,39570.6354559266,855.1223163
"01069","Houston","AL",6500,120,512.290981608676,551944.093051158,12992.56868
"01069","Houston","AL",7500,120,512.290981608676,856789.882603232,19224.13693
"01069","Houston","AL",8500,120,512.290981608676,1471567.53859392,34024.28003
"01069","Houston","AL",10000,160,888.975526909173,54940.7896622694,1235.779325
"01071","Jackson","AL",7500,120,954.059050488173,856789.882603232,19224.13693
"01071","Jackson","AL",8500,150,1655.57305820007,59579.1238157546,1316.32917
"01071","Jackson","AL",10000,180,1880.05754066787,39570.6354559266,855.1223163
"01073","Jefferson","AL",6500,140,1311.38524609991,62099.0952289965,1439.144864
"01073","Jefferson","AL",7500,150,1719.37176710877,52804.3988744404,1144.325137
"01073","Jefferson","AL",8500,160,1719.37176710877,46402.1530989227,1008.857068
"01073","Jefferson","AL",10000,190,1952.50692197097,35124.9031535329,745.0386627
"01075","Lamar","AL",5500,120,534.084390030535,421707.508301757,9615.791529
"01075","Lamar","AL",6500,130,706.876398569826,112023.55207132,2621.501251
"01075","Lamar","AL",7500,150,926.793500347105,52804.3988744404,1144.325137
"01075","Lamar","AL",8500,180,1052.46041564841,33602.7411826441,709.6734064
"01075","Lamar","AL",10000,190,1052.46041564841,35124.9031535329,745.0386627
"01077","Lauderdale","AL",7500,120,612.028752782526,856789.882603232,19224.13693
"01077","Lauderdale","AL",8500,140,810.038055153344,86147.4173929676,1935.408743
"01077","Lauderdale","AL",10000,180,1206.05665989498,39570.6354559266,855.1223163
"01079","Lawrence","AL",5500,120,450.496319122031,421707.508301757,9615.791529
"01079","Lawrence","AL",6500,140,596.245128249746,62099.0952289965,1439.144864
"01079","Lawrence","AL",7500,160,781.743612594112,41264.1789728678,883.4923126
"01079","Lawrence","AL",8500,180,887.742746505178,33602.7411826441,709.6734064
"01079","Lawrence","AL",10000,200,993.741880416244,31397.4856276848,653.3218402
"01081","Lee","AL",6500,120,542.665240866572,551944.093051158,12992.56868
"01081","Lee","AL",7500,130,718.233407029287,139413.011490509,3099.021123
"01081","Lee","AL",8500,150,941.683800327287,59579.1238157546,1316.32917
"01081","Lee","AL",10000,180,1069.36973935472,39570.6354559266,855.1223163
"01083","Limestone","AL",7500,120,482.244095455397,856789.882603232,19224.13693
"01083","Limestone","AL",8500,160,836.835342113777,46402.1530989227,1008.857068
"01083","Limestone","AL",10000,180,950.304541044458,39570.6354559266,855.1223163
"01085","Lowndes","AL",7500,120,637.017307217732,856789.882603232,19224.13693
"01085","Lowndes","AL",8500,140,843.111141905822,86147.4173929676,1935.408743
"01085","Lowndes","AL",10000,160,1105.4123860543,54940.7896622694,1235.779325
"01087","Macon","AL",6500,120,519.165453368559,551944.093051158,12992.56868
"01087","Macon","AL",7500,150,900.904757316028,52804.3988744404,1144.325137
"01087","Macon","AL",8500,150,900.904757316028,59579.1238157546,1316.32917
"01087","Macon","AL",10000,180,1023.06133457922,39570.6354559266,855.1223163
"01089","Madison","AL",6500,120,657.170945855536,551944.093051158,12992.56868
"01089","Madison","AL",7500,120,657.170945855536,856789.882603232,19224.13693
"01089","Madison","AL",8500,160,1140.38487663167,46402.1530989227,1008.857068
"01089","Madison","AL",10000,190,1295.01333448003,35124.9031535329,745.0386627
"01091","Marengo","AL",5500,120,865.863181635555,421707.508301757,9615.791529
"01091","Marengo","AL",6500,120,865.863181635555,551944.093051158,12992.56868
"01091","Marengo","AL",7500,140,1145.99538745882,75806.287081218,1663.906739
"01091","Marengo","AL",8500,160,1502.52728577934,46402.1530989227,1008.857068
"01091","Marengo","AL",10000,180,1706.25979910536,39570.6354559266,855.1223163
"01093","Marion","AL",5500,120,652.643718121933,421707.508301757,9615.791529
"01093","Marion","AL",6500,120,652.643718121933,551944.093051158,12992.56868
"01093","Marion","AL",7500,140,863.793156337852,75806.287081218,1663.906739
"01093","Marion","AL",8500,180,1286.09203276969,33602.7411826441,709.6734064
"01093","Marion","AL",10000,190,1286.09203276969,35124.9031535329,745.0386627
"01095","Marshall","AL",6500,120,502.921375500317,551944.093051158,12992.56868
